eval,best_so_far
200,74265.8803396279
300,74265.8803396279
400,74265.8803396279
500,74265.8803396279
600,74265.8803396279
700,74265.8803396279
800,74265.8803396279
900,74265.8803396279
1000,74265.8803396279
1100,74265.8803396279
1200,74265.8803396279
1300,74265.8803396279
1400,74265.8803396279
1500,74265.8803396279
1600,74265.8803396279
1700,74265.8803396279
1800,74265.8803396279
1900,74265.8803396279
2000,74265.8803396279
2100,74265.8803396279
2200,74265.8803396279
2300,74265.8803396279
2400,74265.8803396279
2500,74265.8803396279
2600,74265.8803396279
2700,74265.8803396279
2800,74265.8803396279
2900,74265.8803396279
3000,74265.8803396279
3100,74265.8803396279
3200,74265.8803396279
3300,74265.8803396279
3400,74265.8803396279
3500,74265.8803396279
3600,74265.8803396279
3700,74265.8803396279
3800,74265.8803396279
3900,74265.8803396279
4000,74265.8803396279
4100,74265.8803396279
4200,74265.8803396279
4300,74265.8803396279
4400,74265.8803396279
4500,74265.8803396279
4600,74265.8803396279
4700,74265.8803396279
4800,74265.8803396279
4900,74265.8803396279
5000,74265.8803396279
5100,74265.8803396279
5200,74265.8803396279
5300,74265.8803396279
5400,74265.8803396279
5500,74265.8803396279
5600,74265.8803396279
5700,74265.8803396279
5800,74265.8803396279
5900,74265.8803396279
6000,74265.8803396279
6100,74265.8803396279
6200,74265.8803396279
6300,74265.8803396279
6400,74265.8803396279
6500,74265.8803396279
6600,74265.8803396279
6700,74265.8803396279
6800,74265.8803396279
6900,74265.8803396279
7000,74265.8803396279
7100,74265.8803396279
7200,74265.8803396279
7300,74265.8803396279
7400,74265.8803396279
7500,74265.8803396279
7600,74265.8803396279
7700,74265.8803396279
7800,74265.8803396279
7900,74265.8803396279
8000,74265.8803396279
8100,74265.8803396279
8200,74265.8803396279
8300,74265.8803396279
8400,74265.8803396279
8500,74265.8803396279
8600,74265.8803396279
8700,74265.8803396279
8800,74265.8803396279
8900,74265.8803396279
9000,74265.8803396279
9100,74265.8803396279
9200,74265.8803396279
9300,74265.8803396279
9400,74265.8803396279
9500,74265.8803396279
9600,74265.8803396279
9700,74265.8803396279
9800,74265.8803396279
9900,74265.8803396279
10000,74265.8803396279
10100,74265.8803396279
10200,74265.8803396279
10300,74265.8803396279
10400,74265.8803396279
10500,74265.8803396279
10600,74265.8803396279
10700,74265.8803396279
10800,74265.8803396279
10900,74265.8803396279
11000,74265.8803396279
11100,74265.8803396279
11200,74265.8803396279
11300,74265.8803396279
11400,74265.8803396279
11500,74265.8803396279
11600,74265.8803396279
11700,74265.8803396279
11800,74265.8803396279
11900,74265.8803396279
12000,74265.8803396279
12100,74265.8803396279
12200,74265.8803396279
12300,74265.8803396279
12400,74265.8803396279
12500,74265.8803396279
12600,74265.8803396279
12700,74265.8803396279
12800,74265.8803396279
12900,74265.8803396279
13000,74265.8803396279
13100,74265.8803396279
13200,74265.8803396279
13300,74265.8803396279
13400,74265.8803396279
13500,74265.8803396279
13600,74265.8803396279
13700,74265.8803396279
13800,74265.8803396279
13900,74265.8803396279
14000,74265.8803396279
14100,74265.8803396279
14200,74265.8803396279
14300,74265.8803396279
14400,74265.8803396279
14500,74265.8803396279
14600,74265.8803396279
14700,74265.8803396279
14800,74265.8803396279
14900,74265.8803396279
15000,74265.8803396279
15100,74265.8803396279
15200,74265.8803396279
15300,74265.8803396279
15400,74265.8803396279
15500,74265.8803396279
15600,74265.8803396279
15700,74265.8803396279
15800,74265.8803396279
15900,74265.8803396279
16000,74265.8803396279
16100,74265.8803396279
16200,74265.8803396279
16300,74265.8803396279
16400,74265.8803396279
16500,74265.8803396279
16600,74265.8803396279
16700,74265.8803396279
16800,74265.8803396279
16900,74265.8803396279
17000,74265.8803396279
17100,74265.8803396279
17200,74265.8803396279
17300,74265.8803396279
17400,74265.8803396279
17500,74265.8803396279
17600,74265.8803396279
17700,74265.8803396279
17800,74265.8803396279
17900,74265.8803396279
18000,74265.8803396279
18100,74265.8803396279
18200,74265.8803396279
18300,74265.8803396279
18400,74265.8803396279
18500,74265.8803396279
18600,74265.8803396279
18700,74265.8803396279
18800,74265.8803396279
18900,74265.8803396279
19000,74265.8803396279
19100,74265.8803396279
19200,74265.8803396279
19300,74265.8803396279
19400,74265.8803396279
19500,74265.8803396279
19600,74265.8803396279
19700,74265.8803396279
19800,74265.8803396279
19900,74265.8803396279
20000,74265.8803396279
20100,74265.8803396279
20200,74265.8803396279
20300,74265.8803396279
20400,74265.8803396279
20500,74265.8803396279
20600,74265.8803396279
20700,74265.8803396279
20800,74265.8803396279
20900,74265.8803396279
21000,74265.8803396279
21100,74265.8803396279
21200,74265.8803396279
21300,74265.8803396279
21400,74265.8803396279
21500,74265.8803396279
21600,74265.8803396279
21700,74265.8803396279
21800,74265.8803396279
21900,74265.8803396279
22000,74265.8803396279
22100,74265.8803396279
22200,74265.8803396279
22300,74265.8803396279
22400,74265.8803396279
22500,74265.8803396279
22600,74265.8803396279
22700,74265.8803396279
22800,74265.8803396279
22900,74265.8803396279
23000,74265.8803396279
23100,74265.8803396279
23200,74265.8803396279
23300,74265.8803396279
23400,74265.8803396279
23500,74265.8803396279
23600,74265.8803396279
23700,74265.8803396279
23800,74265.8803396279
23900,74265.8803396279
24000,74265.8803396279
24100,74265.8803396279
24200,74265.8803396279
24300,74265.8803396279
24400,74265.8803396279
24500,74265.8803396279
24600,74265.8803396279
24700,74265.8803396279
24800,74265.8803396279
24900,74265.8803396279
25000,74265.8803396279
25100,74265.8803396279
