run,best_value,runtime_sec
0,4.2342001305454014e-154,1.2357864379882812
1,3.1303912393113304e-155,1.2513363361358643
2,2.0972999717604147e-156,1.2500929832458496
3,1.0766438837101609e-153,1.2409565448760986
4,2.3059986553560494e-153,1.218587875366211
5,2.8926289159735703e-153,1.2409772872924805
6,4.978087865710942e-155,1.2302436828613281
7,5.872282689906197e-154,1.2331373691558838
8,4.9730236755238803e-154,1.227264642715454
9,2.1707764558921897e-154,1.2429347038269043
10,6.5746496726371694e-155,1.2469563484191895
