run,best_value,runtime_sec
0,1.1978559056411686e-114,1.233670711517334
1,1.2193912391024765e-116,1.248993158340454
2,8.381211204131558e-114,1.2260158061981201
3,1.3987352322131003e-117,1.2386527061462402
4,1.9437299617741307e-114,1.2317602634429932
5,4.040040688241445e-113,1.2372915744781494
6,3.6828931966714984e-113,1.232356309890747
7,1.3412305137598337e-114,1.2271428108215332
8,4.296299379025761e-112,1.2307016849517822
9,5.980099769439877e-111,1.2443678379058838
10,4.95096248306262e-113,1.2025456428527832
