run,best_value,runtime_sec
0,0.0,9.743423700332642
1,0.0,9.955820322036743
2,1e-323,10.060616970062256
3,5e-324,9.968305110931396
4,1e-323,10.082519769668579
5,0.0,10.041855812072754
6,0.0,10.01288104057312
7,1.5e-323,10.097516775131226
8,1e-323,10.280574560165405
9,0.0,10.044018745422363
10,3e-323,10.121570587158203
