eval,best_so_far
200,6440.789451274588
300,6440.789451274588
400,6440.789451274588
500,6440.789451274588
600,6440.789451274588
700,6440.789451274588
800,6440.789451274588
900,6440.789451274588
1000,6440.789451274588
1100,6440.789451274588
1200,6440.789451274588
1300,6440.789451274588
1400,6440.789451274588
1500,6440.789451274588
1600,6440.789451274588
1700,6440.789451274588
1800,6440.789451274588
1900,6440.789451274588
2000,6440.789451274588
2100,6440.789451274588
2200,6440.789451274588
2300,6440.789451274588
2400,6440.789451274588
2500,6440.789451274588
2600,6440.789451274588
2700,6440.789451274588
2800,6440.789451274588
2900,6440.789451274588
3000,6440.789451274588
3100,6440.789451274588
3200,6440.789451274588
3300,6440.789451274588
3400,6440.789451274588
3500,6440.789451274588
3600,6440.789451274588
3700,6440.789451274588
3800,6440.789451274588
3900,6440.789451274588
4000,6440.789451274588
4100,6440.789451274588
4200,6440.789451274588
4300,6440.789451274588
4400,6440.789451274588
4500,6440.789451274588
4600,6440.789451274588
4700,6440.789451274588
4800,6440.789451274588
4900,6440.789451274588
5000,6440.789451274588
5100,6440.789451274588
5200,6440.789451274588
5300,6440.789451274588
5400,6440.789451274588
5500,6440.789451274588
5600,6440.789451274588
5700,6440.789451274588
5800,6440.789451274588
5900,6440.789451274588
6000,6440.789451274588
6100,6440.789451274588
6200,6440.789451274588
6300,6440.789451274588
6400,6440.789451274588
6500,6440.789451274588
6600,6440.789451274588
6700,6440.789451274588
6800,6440.789451274588
6900,6440.789451274588
7000,6440.789451274588
7100,6440.789451274588
7200,6440.789451274588
7300,6440.789451274588
7400,6440.789451274588
7500,6440.789451274588
7600,6440.789451274588
7700,6440.789451274588
7800,6440.789451274588
7900,6440.789451274588
8000,6440.789451274588
8100,6440.789451274588
8200,6440.789451274588
8300,6440.789451274588
8400,6440.789451274588
8500,6440.789451274588
8600,6440.789451274588
8700,6440.789451274588
8800,6440.789451274588
8900,6440.789451274588
9000,6440.789451274588
9100,6440.789451274588
9200,6440.789451274588
9300,6440.789451274588
9400,6440.789451274588
9500,6440.789451274588
9600,6440.789451274588
9700,6440.789451274588
9800,6440.789451274588
9900,6440.789451274588
10000,6440.789451274588
10100,6440.789451274588
10200,6440.789451274588
10300,6440.789451274588
10400,6440.789451274588
10500,6440.789451274588
10600,6440.789451274588
10700,6440.789451274588
10800,6440.789451274588
10900,6440.789451274588
11000,6440.789451274588
11100,6440.789451274588
11200,6440.789451274588
11300,6440.789451274588
11400,6440.789451274588
11500,6440.789451274588
11600,6440.789451274588
11700,6440.789451274588
11800,6440.789451274588
11900,6440.789451274588
12000,6440.789451274588
12100,6440.789451274588
12200,6440.789451274588
12300,6440.789451274588
12400,6440.789451274588
12500,6440.789451274588
12600,6440.789451274588
12700,6440.789451274588
12800,6440.789451274588
12900,6440.789451274588
13000,6440.789451274588
13100,6440.789451274588
13200,6440.789451274588
13300,6440.789451274588
13400,6440.789451274588
13500,6440.789451274588
13600,6440.789451274588
13700,6440.789451274588
13800,6440.789451274588
13900,6440.789451274588
14000,6440.789451274588
14100,6440.789451274588
14200,6440.789451274588
14300,6440.789451274588
14400,6440.789451274588
14500,6440.789451274588
14600,6440.789451274588
14700,6440.789451274588
14800,6440.789451274588
14900,6440.789451274588
15000,6440.789451274588
15100,6440.789451274588
15200,6440.789451274588
15300,6440.789451274588
15400,6440.789451274588
15500,6440.789451274588
15600,6440.789451274588
15700,6440.789451274588
15800,6440.789451274588
15900,6440.789451274588
16000,6440.789451274588
16100,6440.789451274588
16200,6440.789451274588
16300,6440.789451274588
16400,6440.789451274588
16500,6440.789451274588
16600,6440.789451274588
16700,6440.789451274588
16800,6440.789451274588
16900,6440.789451274588
17000,6440.789451274588
17100,6440.789451274588
