eval,best_so_far
40,99.41183153210076
80,71.23834797121872
120,23.681427270214435
160,21.558092589769036
200,16.304685577914665
240,14.960769841025867
280,13.358507109243362
320,11.462676297968326
360,7.569791633559388
400,7.018232703737923
440,6.55770620097438
480,6.55770620097438
520,5.275122670202292
560,4.9789866039751045
600,3.906049968447676
640,3.4733448402649874
680,2.7987689896061245
720,2.7987689896061245
760,2.7987689896061245
800,2.7987689896061245
840,2.4505492800135107
880,2.376732687594884
920,2.0417179158415393
960,2.0417179158415393
1000,1.8624864735914037
1040,1.5498851372374651
1080,1.5498851372374651
1120,1.4305734883144947
1160,1.4305734883144947
1200,1.4305734883144947
1240,1.4305734883144947
1280,1.0778515555027168
1320,0.8880304737528786
1360,0.8880304737528786
1400,0.7816375641001366
1440,0.6807762034097825
1480,0.6395725949968721
1520,0.5695223275572692
1560,0.5695223275572692
1600,0.5695223275572692
1640,0.5695223275572692
1680,0.5695223275572692
1720,0.4311997619948315
1760,0.3973309431381416
1800,0.3973309431381416
1840,0.33021790325784917
1880,0.33021790325784917
1920,0.24849763148760323
1960,0.16355860476016565
2000,0.1440863104497344
2040,0.09278898497436636
2080,0.09278898497436636
2120,0.08917154455351196
2160,0.08917154455351196
2200,0.08917154455351196
2240,0.07415053700899969
2280,0.06206390756355212
2320,0.06206390756355212
2360,0.06206390756355212
2400,0.04568379205666581
2440,0.04568379205666581
2480,0.03817461819233514
2520,0.03479451982236144
2560,0.03479451982236144
2600,0.03479451982236144
2640,0.032826074596059636
2680,0.03152364621952665
2720,0.03152364621952665
2760,0.03152364621952665
2800,0.029109217319121285
2840,0.02621817797987479
2880,0.02621817797987479
2920,0.020995859404682297
2960,0.019564514341275274
3000,0.016023385404126903
3040,0.015314744785020573
3080,0.015314744785020573
3120,0.01379474675809958
3160,0.010972002735149968
3200,0.010259299968354578
3240,0.008034023498254168
3280,0.008034023498254168
3320,0.007892662630129813
3360,0.007892662630129813
3400,0.007892662630129813
3440,0.0073972830192943085
3480,0.006813220147982256
3520,0.005949091198569422
3560,0.005467046977042796
3600,0.005467046977042796
3640,0.004382956300864271
3680,0.004257090990605294
3720,0.004257090990605294
3760,0.004111380453909016
3800,0.0033366332654438703
3840,0.002794056154229003
3880,0.002794056154229003
3920,0.00237717309788727
3960,0.0020997924575257114
4000,0.0020997924575257114
4040,0.0019692132851781797
4080,0.0019692132851781797
4120,0.0018515515629772578
4160,0.001287799166854271
4200,0.001287799166854271
4240,0.0010912440751761167
4280,0.0010912440751761167
4320,0.0010004290513034692
4360,0.0010004290513034692
4400,0.0010004290513034692
4440,0.0009198304955975086
4480,0.0007620140064173347
4520,0.0007620140064173347
