eval,best_so_far
200,491108.3140505391
300,491108.3140505391
400,491108.3140505391
500,491108.3140505391
600,491108.3140505391
700,491108.3140505391
800,491108.3140505391
900,491108.3140505391
1000,491108.3140505391
1100,491108.3140505391
1200,491108.3140505391
1300,491108.3140505391
1400,491108.3140505391
1500,491108.3140505391
1600,491108.3140505391
1700,491108.3140505391
1800,491108.3140505391
1900,491108.3140505391
2000,491108.3140505391
2100,491108.3140505391
2200,491108.3140505391
2300,491108.3140505391
2400,491108.3140505391
2500,491108.3140505391
2600,491108.3140505391
2700,491108.3140505391
2800,491108.3140505391
2900,491108.3140505391
3000,491108.3140505391
3100,491108.3140505391
3200,491108.3140505391
3300,491108.3140505391
3400,491108.3140505391
3500,491108.3140505391
3600,491108.3140505391
3700,491108.3140505391
3800,491108.3140505391
3900,491108.3140505391
4000,491108.3140505391
4100,491108.3140505391
4200,491108.3140505391
4300,491108.3140505391
4400,491108.3140505391
4500,491108.3140505391
4600,491108.3140505391
4700,491108.3140505391
4800,491108.3140505391
4900,491108.3140505391
5000,491108.3140505391
5100,491108.3140505391
5200,491108.3140505391
5300,491108.3140505391
5400,491108.3140505391
5500,491108.3140505391
5600,491108.3140505391
5700,491108.3140505391
5800,491108.3140505391
5900,491108.3140505391
6000,491108.3140505391
6100,491108.3140505391
6200,491108.3140505391
6300,491108.3140505391
6400,491108.3140505391
6500,491108.3140505391
6600,491108.3140505391
6700,491108.3140505391
6800,491108.3140505391
6900,491108.3140505391
7000,491108.3140505391
7100,491108.3140505391
7200,491108.3140505391
7300,491108.3140505391
7400,491108.3140505391
7500,491108.3140505391
7600,491108.3140505391
7700,491108.3140505391
7800,491108.3140505391
7900,491108.3140505391
8000,491108.3140505391
8100,491108.3140505391
8200,491108.3140505391
8300,491108.3140505391
8400,491108.3140505391
8500,491108.3140505391
8600,491108.3140505391
8700,491108.3140505391
8800,491108.3140505391
8900,491108.3140505391
9000,491108.3140505391
9100,491108.3140505391
9200,491108.3140505391
9300,491108.3140505391
9400,491108.3140505391
9500,491108.3140505391
9600,491108.3140505391
9700,491108.3140505391
9800,491108.3140505391
9900,491108.3140505391
10000,491108.3140505391
10100,491108.3140505391
10200,491108.3140505391
10300,491108.3140505391
10400,491108.3140505391
10500,491108.3140505391
10600,491108.3140505391
10700,491108.3140505391
10800,491108.3140505391
10900,491108.3140505391
11000,491108.3140505391
11100,491108.3140505391
11200,491108.3140505391
11300,491108.3140505391
11400,491108.3140505391
11500,491108.3140505391
11600,491108.3140505391
11700,491108.3140505391
11800,491108.3140505391
11900,491108.3140505391
12000,491108.3140505391
12100,491108.3140505391
12200,491108.3140505391
12300,491108.3140505391
12400,491108.3140505391
12500,491108.3140505391
12600,491108.3140505391
12700,491108.3140505391
12800,491108.3140505391
12900,491108.3140505391
13000,491108.3140505391
13100,491108.3140505391
13200,491108.3140505391
13300,491108.3140505391
13400,491108.3140505391
13500,491108.3140505391
13600,491108.3140505391
13700,491108.3140505391
13800,491108.3140505391
13900,491108.3140505391
14000,491108.3140505391
14100,491108.3140505391
14200,491108.3140505391
14300,491108.3140505391
14400,491108.3140505391
14500,491108.3140505391
14600,491108.3140505391
14700,491108.3140505391
14800,491108.3140505391
14900,491108.3140505391
15000,491108.3140505391
15100,491108.3140505391
15200,491108.3140505391
15300,491108.3140505391
15400,491108.3140505391
15500,491108.3140505391
15600,491108.3140505391
15700,491108.3140505391
15800,491108.3140505391
15900,491108.3140505391
16000,491108.3140505391
16100,491108.3140505391
16200,491108.3140505391
16300,491108.3140505391
16400,491108.3140505391
16500,491108.3140505391
16600,491108.3140505391
16700,491108.3140505391
16800,491108.3140505391
16900,491108.3140505391
17000,491108.3140505391
17100,491108.3140505391
17200,491108.3140505391
17300,491108.3140505391
17400,491108.3140505391
17500,491108.3140505391
17600,491108.3140505391
17700,491108.3140505391
17800,491108.3140505391
17900,491108.3140505391
18000,491108.3140505391
18100,491108.3140505391
18200,491108.3140505391
18300,491108.3140505391
18400,491108.3140505391
18500,491108.3140505391
18600,491108.3140505391
18700,491108.3140505391
18800,491108.3140505391
18900,491108.3140505391
19000,491108.3140505391
19100,491108.3140505391
19200,491108.3140505391
19300,491108.3140505391
19400,491108.3140505391
19500,491108.3140505391
19600,491108.3140505391
19700,491108.3140505391
19800,491108.3140505391
19900,491108.3140505391
20000,491108.3140505391
20100,491108.3140505391
20200,491108.3140505391
20300,491108.3140505391
20400,491108.3140505391
20500,491108.3140505391
20600,491108.3140505391
20700,491108.3140505391
20800,491108.3140505391
20900,491108.3140505391
21000,491108.3140505391
21100,491108.3140505391
21200,491108.3140505391
21300,491108.3140505391
21400,491108.3140505391
21500,491108.3140505391
21600,491108.3140505391
21700,491108.3140505391
21800,491108.3140505391
21900,491108.3140505391
22000,491108.3140505391
22100,491108.3140505391
22200,491108.3140505391
22300,491108.3140505391
22400,491108.3140505391
22500,491108.3140505391
22600,491108.3140505391
22700,491108.3140505391
22800,491108.3140505391
22900,491108.3140505391
23000,491108.3140505391
23100,491108.3140505391
23200,491108.3140505391
23300,491108.3140505391
23400,491108.3140505391
23500,491108.3140505391
23600,491108.3140505391
23700,491108.3140505391
23800,491108.3140505391
23900,491108.3140505391
24000,491108.3140505391
24100,491108.3140505391
24200,491108.3140505391
24300,491108.3140505391
24400,491108.3140505391
24500,491108.3140505391
24600,491108.3140505391
24700,491108.3140505391
24800,491108.3140505391
24900,491108.3140505391
25000,491108.3140505391
25100,491108.3140505391
25200,491108.3140505391
25300,491108.3140505391
25400,491108.3140505391
25500,491108.3140505391
25600,491108.3140505391
25700,491108.3140505391
25800,491108.3140505391
25900,491108.3140505391
26000,491108.3140505391
26100,491108.3140505391
