run,best_value,runtime_sec
0,2.3599228644917814e-113,1.3698813915252686
1,7.607746074755032e-114,1.3759613037109375
2,9.961055787889111e-115,1.3706653118133545
3,3.801337067308689e-114,1.3644769191741943
4,1.0982472701125422e-112,1.3667330741882324
5,1.479869117922153e-113,1.3608286380767822
6,2.332608062250747e-115,1.3673248291015625
7,5.536252603410954e-113,1.3701655864715576
8,8.436375922809214e-115,1.3748443126678467
9,7.011784357267332e-114,1.3703744411468506
10,1.7875875130640325e-114,1.379211187362671
