eval,best_so_far
40,3164.7960266407813
80,3153.755441302337
120,3153.755441302337
160,3125.570835884736
200,3125.570835884736
240,3082.1115297349643
280,3082.1115297349643
320,3082.1115297349643
360,3082.1115297349643
400,2982.6235440595055
440,2773.880834961073
480,2773.880834961073
520,2773.880834961073
560,2773.880834961073
600,2673.179632414566
640,2673.179632414566
680,2673.179632414566
720,2673.179632414566
760,2673.179632414566
800,2673.179632414566
840,2498.2760806049873
880,2498.2760806049873
920,2498.2760806049873
960,2498.2760806049873
1000,2484.3140535168277
1040,2350.401225604979
1080,2350.401225604979
1120,2350.401225604979
1160,2350.401225604979
1200,2350.401225604979
1240,2350.401225604979
1280,2350.401225604979
1320,2336.675769107054
1360,2332.6577370591804
1400,2332.6577370591804
1440,2331.2852607571385
1480,2318.307051249131
1520,2318.307051249131
1560,2314.366858925523
1600,2234.3087145494565
1640,2026.679446645473
1680,1961.202546471281
1720,1961.202546471281
1760,1961.202546471281
1800,1846.4759409536218
1840,1846.4759409536218
1880,1846.4759409536218
1920,1846.4759409536218
1960,1846.4759409536218
2000,1846.4759409536218
2040,1846.242761074372
2080,1822.5081793864665
2120,1822.5081793864665
2160,1822.5081793864665
2200,1822.5081793864665
2240,1803.9973195408115
2280,1803.9973195408115
2320,1803.9973195408115
2360,1761.548674988846
2400,1752.3452465624878
2440,1752.3452465624878
2480,1744.4190887099562
2520,1737.565551972989
2560,1734.151568884864
2600,1734.151568884864
2640,1731.5830458372534
2680,1731.5591275425995
2720,1728.49988182982
2760,1720.5586414776153
2800,1720.5586414776153
2840,1720.5586414776153
2880,1720.5586414776153
2920,1720.5586414776153
2960,1720.4609616994676
3000,1720.4609616994676
3040,1718.8162028427537
3080,1718.8162028427537
3120,1718.8162028427537
3160,1718.0857493928934
3200,1718.0857493928934
3240,1718.0857493928934
3280,1718.0857493928934
3320,1718.0857493928934
3360,1718.0857493928934
3400,1718.0857493928934
3440,1718.0857493928934
3480,1718.0770340548202
3520,1717.9965364373352
3560,1717.9345740938288
3600,1717.8491261118384
3640,1717.7684092601276
3680,1717.6431628941796
3720,1717.634971964032
3760,1717.5754772146138
3800,1717.5427660897958
3840,1717.5184147150612
3880,1717.516755386126
3920,1717.516755386126
3960,1717.5128707949261
4000,1717.5128707949261
4040,1717.4964825716042
4080,1717.4721442291693
4120,1717.4707419996002
4160,1717.4695999624878
4200,1717.4605517703444
4240,1717.4605517703444
4280,1717.4469154604367
4320,1717.4469154604367
4360,1717.4469154604367
4400,1717.4459607917438
4440,1717.4415568596169
4480,1717.4415568596169
4520,1717.4415568596169
4560,1717.4415568596169
4600,1717.4415568596169
4640,1717.4415568596169
4680,1717.439804032103
4720,1717.437505701229
4760,1717.437505701229
4800,1717.437505701229
4840,1717.4357851686982
4880,1717.4357851686982
4920,1717.4338533074251
4960,1717.4338533074251
5000,1717.4338533074251
5040,1717.4338533074251
5080,1717.4338533074251
5120,1717.4331955770112
5160,1717.4331955770112
5200,1717.433109598297
5240,1717.432898195706
5280,1717.432898195706
5320,1717.432883972459
5360,1717.432883972459
5400,1717.432883972459
5440,1717.432883972459
5480,1717.432848535816
5520,1717.432848535816
5560,1717.432838873237
5600,1717.432838873237
5640,1717.432838873237
5680,1717.4328383353318
5720,1717.432787666548
5760,1717.432787666548
5800,1717.432787298941
5840,1717.432742783738
5880,1717.432742783738
5920,1717.4327286926682
5960,1717.4327264583321
6000,1717.4327245623945
6040,1717.4327242950603
6080,1717.4327206143066
6120,1717.4327138743943
6160,1717.4327040950075
6200,1717.4327040950075
6240,1717.4327023208398
6280,1717.4327008068303
6320,1717.4327008068303
6360,1717.4326995058018
6400,1717.4326894799115
6440,1717.4326861773056
6480,1717.4326861773056
6520,1717.4326719127307
6560,1717.4326689316504
6600,1717.4326673224432
6640,1717.432667184582
6680,1717.4326669887819
6720,1717.4326638694538
6760,1717.4326638694538
6800,1717.432663809719
6840,1717.432661893342
6880,1717.432661893342
6920,1717.432661797703
6960,1717.432661053273
7000,1717.432661053273
7040,1717.432661053273
7080,1717.432661053273
7120,1717.432661053273
7160,1717.432661053273
7200,1717.432661053273
7240,1717.432661053273
7280,1717.432660890358
7320,1717.432660879383
7360,1717.432660879383
7400,1717.4326608154101
7440,1717.4326602526662
7480,1717.4326602526662
7520,1717.4326602526662
7560,1717.4326600423956
7600,1717.4326600251434
7640,1717.4326599154247
7680,1717.4326598981056
7720,1717.4326598460761
7760,1717.4326597488866
7800,1717.4326596838523
7840,1717.432659654918
7880,1717.432659654918
7920,1717.4326596085366
7960,1717.432659606071
8000,1717.4326595727935
8040,1717.4326594876652
8080,1717.4326594876652
8120,1717.4326594876652
8160,1717.4326594574236
8200,1717.4326594462427
8240,1717.432659444924
8280,1717.4326594153745
8320,1717.4326594153745
8360,1717.4326593944443
8400,1717.4326593944443
8440,1717.4326593866326
8480,1717.43265938159
8520,1717.43265938159
8560,1717.43265938159
8600,1717.43265938159
8640,1717.4326593793635
8680,1717.4326593729465
8720,1717.4326593729465
8760,1717.432659371057
8800,1717.4326593698947
8840,1717.4326593698947
8880,1717.4326593698947
8920,1717.4326593686978
8960,1717.432659368248
