run,best_value,runtime_sec
0,0.00025455132526985835,10.459717750549316
1,0.00025455132526985835,10.433709621429443
2,0.00025455132526985835,10.568212985992432
3,0.00025455132526985835,10.924524307250977
4,0.00025455132526985835,10.697414636611938
5,0.00025455132526985835,11.084892988204956
6,0.00025455132526985835,10.475769758224487
7,0.00025455132526985835,10.895707607269287
8,0.00025455132526985835,10.939195156097412
9,0.00025455132526985835,10.901732921600342
10,118.4385891657621,10.811222076416016
