run,best_value,runtime_sec
0,0.00012727566172543447,5.276708602905273
1,0.00012727566172543447,5.7276694774627686
2,0.00012727566172543447,5.2707884311676025
3,0.00012727566172543447,5.693532943725586
4,0.00012727566172543447,5.274756669998169
5,0.00012727566172543447,5.758394479751587
6,0.00012727566172543447,5.301795721054077
7,0.00012727566172543447,5.652673721313477
8,0.00012727566172543447,5.335711717605591
9,0.00012727566172543447,5.804805278778076
10,0.00012727566172543447,5.277672529220581
