eval,best_so_far
40,101902.2813511924
80,36210.65636337718
120,11707.971870096837
160,6176.090942368888
200,2276.33903206267
240,2276.33903206267
280,2276.33903206267
320,1642.2485161488264
360,1642.2485161488264
400,1597.9992016923763
440,1597.9992016923763
480,1597.9992016923763
520,1517.8300337737232
560,1517.8300337737232
600,1494.5624557142105
640,1024.6427299920122
680,993.4012434600877
720,993.4012434600877
760,815.3417411708533
800,584.8898769679405
840,416.88700868441384
880,134.22465574174726
920,134.22465574174726
960,134.22465574174726
1000,90.16873674186704
1040,90.16873674186704
1080,90.16873674186704
1120,45.89861833174264
1160,45.89861833174264
1200,45.89861833174264
1240,45.89861833174264
1280,45.89861833174264
1320,45.397043747317056
1360,45.397043747317056
1400,45.397043747317056
1440,23.234570657913576
1480,23.234570657913576
1520,23.234570657913576
1560,23.076941023874202
1600,23.076941023874202
1640,23.076941023874202
1680,21.401020977055854
1720,19.628997128353415
1760,19.628997128353415
1800,19.085151435394163
1840,15.201322078514579
1880,12.600742650573471
1920,12.600742650573471
1960,11.949232050720951
2000,11.610251594516958
2040,11.23131145624812
2080,11.124024281904806
2120,9.874977696717679
2160,9.874977696717679
2200,9.874977696717679
2240,9.813186147546807
2280,9.813186147546807
2320,9.323377484127251
2360,8.802158983646207
2400,8.802158983646207
2440,8.714024841001809
2480,8.714024841001809
2520,8.66892320869288
2560,8.593092955195356
2600,8.593092955195356
2640,8.505278059537337
2680,8.505278059537337
2720,8.505278059537337
2760,8.487032849708406
2800,8.487032849708406
2840,8.339683984765022
2880,8.339683984765022
2920,8.3306134127464
2960,8.28848843643935
3000,8.28848843643935
3040,8.28848843643935
3080,8.28848843643935
3120,8.28848843643935
3160,8.2839072557193
3200,8.251529040946362
3240,8.251529040946362
3280,8.20327730016184
3320,8.20327730016184
3360,8.193574853831148
3400,8.191206951776715
3440,8.184090635834997
3480,8.184090635834997
3520,8.166512234703552
3560,8.16376550498801
3600,8.15180058262214
3640,8.15180058262214
3680,8.150379228258648
3720,8.144726265928611
3760,8.139838383072542
3800,8.132431509060217
3840,8.131749338988445
3880,8.128590305919735
3920,8.124461512038666
3960,8.124461512038666
4000,8.124461512038666
4040,8.123184563496418
4080,8.117374745776994
4120,8.097457212765324
4160,8.085007072417843
4200,8.073632439996544
4240,8.059368633409445
4280,8.050655487338915
4320,8.040051628447324
4360,8.024373582800354
4400,8.006177955219886
4440,8.006177955219886
4480,7.983062138214353
4520,7.965838093128951
4560,7.9529112398301125
4600,7.939084952731788
4640,7.877193071115563
4680,7.844938331502618
4720,7.8309876994303185
4760,7.8116640665159025
4800,7.793562530230241
4840,7.7285509656925795
4880,7.7081741463029
4920,7.678848571651338
4960,7.641081329621927
5000,7.5735954096632785
5040,7.541005212409769
5080,7.510369782470863
5120,7.482386100345316
5160,7.409588444867393
5200,7.409588444867393
5240,7.38431993679222
5280,7.38431993679222
5320,7.351177951310051
5360,7.351177951310051
